field: 8 domains  seats = 28  N0 = 18  (80% of ceiling = 22.4)
calibration: tariff = 0.000382  E0 = 0.076771  (both measured, not chosen)

  arm  seed  survivors   born   died    acts     charge   peak
   A0     1         18      0      0    3877     48.226     18
   A0     2         18      0      0    4073     50.589     18
   A0     3         18      0      0    3944     50.702     18
   A0     4         18      0      0    3845     47.461     18
   A0     5         18      0      0    4061     50.607     18
   A0     7         18      0      0    4059     49.860     18
   A0    42         18      0      0    4052     51.171     18
   A0    99         18      0      0    3884     49.384     18
   A1     1         28     63     53    8430     42.478     28
   A1     2         28     66     56    8822     41.898     28
   A1     3         28     68     58    8644     44.073     28
   A1     4         28     62     52    8493     41.669     28
   A1     5         28     60     50    8544     43.836     28
   A1     7         28     59     49    8380     44.284     28
   A1    42         28     65     55    8895     41.763     28
   A1    99         28     70     60    8166     41.401     28
  A2a     1         28     39     29       0     46.672     28
  A2a     2         28     44     34       0     46.893     28
  A2a     3         28     43     33       0     46.880     28
  A2a     4         28     43     33       0     45.756     28
  A2a     5         28     42     32       0     49.175     28
  A2a     7         28     39     29       0     47.598     28
  A2a    42         28     45     35       0     45.464     28
  A2a    99         28     45     35       0     47.903     28
  A2b     1         28     44     34    7943     49.343     28
  A2b     2         28     45     35    8321     48.988     28
  A2b     3         28     46     36    8345     48.045     28
  A2b     4         28     48     38    8021     47.730     28
  A2b     5         28     42     32    8193     51.070     28
  A2b     7         28     44     34    8147     49.321     28
  A2b    42         28     50     40    8413     47.859     28
  A2b    99         28     46     36    7978     48.788     28

escalation check: highest population 28 vs 80% of 28 = 22.4 -> FIRES: re-measure at a wider field
