field: 16 domains  seats = 120  N0 = 42  (80% of ceiling = 96.0)
calibration: tariff = 0.000174  E0 = 0.034708  (both measured, not chosen)

  arm  seed  survivors   born   died    acts     charge   peak
   A0     1         42      0      0    9160     52.017     42
   A0     2         42      0      0    9330     53.704     42
   A0     3         42      0      0    9188     53.167     42
   A0     4         42      0      0    9092     50.840     42
   A0     5         42      0      0    9521     53.815     42
   A0     7         42      0      0    9372     52.669     42
   A0    42         42      0      0    9393     54.002     42
   A0    99         42      0      0    9157     52.786     42
   A1     1        120    483    405   36652     50.758    120
   A1     2        120    414    336   34323     51.627    120
   A1     3        120    491    413   37614     51.981    120
   A1     4        120    478    400   37179     52.315    120
   A1     5        120    507    429   38352     51.611    120
   A1     7        120    419    341   34315     51.697    120
   A1    42        120    439    361   36567     53.082    120
   A1    99        118    480    404   36767     52.511    120
  A2a     1         94    256    204       0     59.192    120
  A2a     2         85    276    233       0     58.707    120
  A2a     3         87    247    202       0     59.508    120
  A2a     4         90    272    224       0     58.744    120
  A2a     5         92    231    181       0     58.834    120
  A2a     7         89    257    210       0     58.851    120
  A2a    42         83    265    224       0     59.561    120
  A2a    99         93    269    218       0     58.633    120
  A2b     1         86    221    177   28574     59.628    120
  A2b     2         72    250    220   30003     59.351    120
  A2b     3         81    236    197   28899     58.864    120
  A2b     4         77    251    216   29833     59.200    120
  A2b     5         76    211    177   28306     59.850    120
  A2b     7         91    257    208   29569     58.833    120
  A2b    42         84    260    218   30396     58.719    120
  A2b    99         84    251    209   29349     58.656    120

escalation check: highest population 120 vs 80% of 120 = 96.0 -> FIRES: re-measure at a wider field
